"BehaviorSpace results (NetLogo 6.2.2)"
"visek_obstacles.nlogo"
"obst"
"11/04/2022 09:03:37:978 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"6","1","30","46","0.6593737467840471","0.3333333333333333"
"3","1","0","48","0.793676821648284","0.2866666666666667"
"2","1","0","49","0.8557915608106339","0.2866666666666667"
"5","1","30","47","0.6570696337082873","0.2833333333333333"
"4","1","30","47","0.655575621364001","0.30333333333333334"
"1","1","0","48","0.9000968763678325","0.2733333333333333"
"6","1","30","47","0.6680740575815605","0.31333333333333335"
"3","1","0","49","0.7988051545674162","0.27"
"2","1","0","50","0.861223159746144","0.31333333333333335"
"5","1","30","48","0.6455736107869349","0.29333333333333333"
"1","1","0","49","0.8923566337542576","0.3"
"4","1","30","48","0.6419495928029911","0.30666666666666664"
"3","1","0","50","0.8168952824630104","0.24"
"6","1","30","48","0.6651473703234819","0.3333333333333333"
"5","1","30","49","0.633442738816362","0.31666666666666665"
"2","1","0","51","0.8687270311922081","0.32"
"1","1","0","50","0.8843588384165213","0.29333333333333333"
"4","1","30","49","0.6396686252084517","0.33666666666666667"
"3","1","0","51","0.8244185353675993","0.30333333333333334"
"6","1","30","49","0.6509853100452712","0.3333333333333333"
"2","1","0","52","0.879166173935637","0.29333333333333333"
"1","1","0","51","0.8978161286769667","0.2833333333333333"
"5","1","30","50","0.6266837784219467","0.2966666666666667"
"3","1","0","52","0.8263771842960449","0.31"
"4","1","30","50","0.6400255207001053","0.37"
"6","1","30","50","0.6658146317763555","0.3233333333333333"
"1","1","0","52","0.9004890565707342","0.26"
"2","1","0","53","0.8888299371725463","0.30666666666666664"
"5","1","30","51","0.6191079871990182","0.31666666666666665"
"3","1","0","53","0.843035927750986","0.30333333333333334"
"4","1","30","51","0.6600988992074015","0.31"
"1","1","0","53","0.8987615741204801","0.26666666666666666"
"2","1","0","54","0.8945089848145275","0.27"
"6","1","30","51","0.6631389918708471","0.33"
"5","1","30","52","0.6351787069846218","0.2833333333333333"
"3","1","0","54","0.870542708156007","0.26"
"4","1","30","52","0.6508521954463373","0.31"
"1","1","0","54","0.9017414292856406","0.26666666666666666"
"2","1","0","55","0.8988446217340025","0.27666666666666667"
"6","1","30","52","0.6594953805059061","0.31333333333333335"
"3","1","0","55","0.8810309618799507","0.2833333333333333"
"5","1","30","53","0.6518296850582045","0.29333333333333333"
"1","1","0","55","0.9021443787533426","0.25666666666666665"
"4","1","30","53","0.6465799823247388","0.2866666666666667"
"2","1","0","56","0.8935538741475539","0.25666666666666665"
"3","1","0","56","0.8821222915738758","0.28"
"6","1","30","53","0.6876491483991138","0.33"
"5","1","30","54","0.6632486788848586","0.31"
"1","1","0","56","0.9016693051670512","0.27"
"2","1","0","57","0.909864826004713","0.24666666666666667"
"4","1","30","54","0.6269669429472537","0.29333333333333333"
"3","1","0","57","0.8813711162218821","0.26666666666666666"
"6","1","30","54","0.6647313237108625","0.33666666666666667"
"5","1","30","55","0.6525546299518311","0.28"
"2","1","0","58","0.9178403075089282","0.24"
"1","1","0","57","0.8948626984220864","0.30666666666666664"
"3","1","0","58","0.877596969397177","0.23666666666666666"
"4","1","30","55","0.6094329479420763","0.32"
"6","1","30","55","0.6525925038711431","0.30666666666666664"
"5","1","30","56","0.6472835910913254","0.31333333333333335"
"2","1","0","59","0.9212934740819262","0.24"
"1","1","0","58","0.9083844156920806","0.30333333333333334"
"3","1","0","59","0.8868517066105409","0.2633333333333333"
"4","1","30","56","0.6427517144402756","0.37333333333333335"
"6","1","30","56","0.6817130830142145","0.33666666666666667"
"5","1","30","57","0.6433359445765793","0.31333333333333335"
"2","1","0","60","0.9322391933390963","0.25"
"1","1","0","59","0.8978983459734609","0.2833333333333333"
"3","1","0","60","0.8944235119286535","0.2633333333333333"
"4","1","30","57","0.6374830481765965","0.32666666666666666"
"6","1","30","57","0.7096608195731705","0.32"
"2","1","0","61","0.9472030682464129","0.24"
"5","1","30","58","0.6491649445279066","0.31333333333333335"
"1","1","0","60","0.901254127882835","0.2966666666666667"
"3","1","0","61","0.9063124206821923","0.24666666666666667"
"4","1","30","58","0.642471254414615","0.35"
"2","1","0","62","0.9544293959056358","0.22666666666666666"
"6","1","30","58","0.7138214882804242","0.30333333333333334"
"5","1","30","59","0.6312300315206374","0.32"
"1","1","0","61","0.9134083810519634","0.32"
"3","1","0","62","0.9111671189872591","0.27"
"4","1","30","59","0.6221435201653532","0.3233333333333333"
"2","1","0","63","0.9517573591794288","0.23666666666666666"
"1","1","0","62","0.9184946734028968","0.32666666666666666"
"6","1","30","59","0.703941116784114","0.33666666666666667"
"5","1","30","60","0.6295786457765229","0.3333333333333333"
"3","1","0","63","0.9241174029886418","0.24333333333333335"
"2","1","0","64","0.9551844067577498","0.23"
"4","1","30","60","0.6475797885135596","0.31333333333333335"
"1","1","0","63","0.914746130673582","0.2966666666666667"
"6","1","30","60","0.6973698392854264","0.3433333333333333"
"5","1","30","61","0.6453949499168904","0.3466666666666667"
"3","1","0","64","0.9231286410422496","0.23666666666666666"
