"BehaviorSpace results (NetLogo 6.2.2)"
"visek_original.nlogo"
"orig"
"11/03/2022 12:38:52:421 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"3","1","0","37","0.9297928936574258","0.25"
"6","1","30","37","0.6843312713408614","0.24"
"2","1","0","38","0.8886729407887458","0.23333333333333334"
"1","1","0","39","0.935586874621638","0.24666666666666667"
"4","1","30","37","0.7151813446414806","0.26666666666666666"
"5","1","30","37","0.7174533672441467","0.25"
"3","1","0","38","0.9320019546288961","0.23333333333333334"
"6","1","30","38","0.6819730323616339","0.24666666666666667"
"2","1","0","39","0.8892193578413495","0.23"
"1","1","0","40","0.9384790778774507","0.25666666666666665"
"4","1","30","38","0.7128638234848408","0.24666666666666667"
"3","1","0","39","0.9340084927302651","0.24666666666666667"
"5","1","30","38","0.7201626790942193","0.26666666666666666"
"6","1","30","39","0.714660253585592","0.24666666666666667"
"2","1","0","40","0.8894566394187782","0.23333333333333334"
"1","1","0","41","0.9392462755246063","0.29"
"4","1","30","39","0.7131255099359164","0.26666666666666666"
"3","1","0","40","0.9346262200126482","0.26666666666666666"
"5","1","30","39","0.7046762283419171","0.26"
"2","1","0","41","0.8895559259857649","0.24333333333333335"
"6","1","30","40","0.7274823020396891","0.25"
"1","1","0","42","0.9397655054636183","0.2733333333333333"
"4","1","30","40","0.6960140187075529","0.23"
"3","1","0","41","0.9351740570965252","0.27"
"5","1","30","40","0.6985218559394375","0.26666666666666666"
"2","1","0","42","0.889667653020852","0.25333333333333335"
"6","1","30","41","0.7423360494985066","0.25"
"1","1","0","43","0.9401914983457016","0.2833333333333333"
"4","1","30","41","0.699148897447099","0.24"
"3","1","0","42","0.9354680343843714","0.26"
"5","1","30","41","0.7121235317767829","0.23333333333333334"
"2","1","0","43","0.8935860819254041","0.25666666666666665"
"6","1","30","42","0.734070106465611","0.22666666666666666"
"1","1","0","44","0.9408288173535402","0.2866666666666667"
"4","1","30","42","0.6901394241984935","0.23666666666666666"
"3","1","0","43","0.9356902820801272","0.2733333333333333"
